key,pillar_num,pillar,method,confidence,doi,title,year,raw_citation,cited_by_reviews,authors,journal
increase in stability of cellulase immobilized on functionalized magnetic nanospheres w zhang j qiu h feng l zang e sakai j. magn. magn. mater 375 2015,5,Immobilization & Materials,paper_only,1.0,,Increase in stability of cellulase immobilized on functionalized magnetic nanospheres,2015.0,Increase in stability of cellulase immobilized on functionalized magnetic nanospheres W Zhang J Qiu H Feng L Zang E Sakai J. Magn. Magn. Mater 375 2015,02_Sheldon_2018_ChemRev,[],J. Magn. Magn. Mater
liquid carbon dioxide as an effective solvent for immobilized candida antarctica lipase b catalyzed transesterification h n hoang t matsuda tetrahedron lett 56 2015,5,Immobilization & Materials,paper_only,1.0,,Liquid carbon dioxide as an effective solvent for immobilized Candida antarctica lipase B catalyzed transesterification,2015.0,Liquid carbon dioxide as an effective solvent for immobilized Candida antarctica lipase B catalyzed transesterification H N Hoang T Matsuda Tetrahedron Lett 56 2015,02_Sheldon_2018_ChemRev,[],Tetrahedron Lett
10.1016/j.ces.2014.09.046,5,Immobilization & Materials,union_strong,1.0,10.1016/j.ces.2014.09.046,"Modelling and optimisation of the one-pot, multi-enzymatic synthesis of chiral amino-alcohols based on microscale kinetic parameter determination",2015.0,"Modelling and optimisation of the one-pot, multi-enzymatic synthesis of chiral amino-alcohols based on microscale kinetic parameter determination L Rios-Solis P Morris C Grant A O O Odeleye H C Hailes J M Ward P A Dalby F Baganz G J Lye 10.1016/j.ces.2014.09.046 Chemical Engineering Science Chemical Engineering Science 0009-2509 122 2015 Elsevier BV",17_Schrittwieser_2018_ChemRev,"['L. Rios-Solis', 'G.J. Lye']",Chemical Engineering Science
10.1016/j.molcatb.2014.12.005,5,Immobilization & Materials,section_only,1.0,10.1016/j.molcatb.2014.12.005,"Multi-step synthesis strategies towards 1,2-amino alcohols with special emphasis on phenylpropanolamines",2015.0,"Multi-step synthesis strategies towards 1,2-amino alcohols with special emphasis on phenylpropanolamines Torsten Sehl Zaira Maugeri Dörte Rother 10.1016/j.molcatb.2014.12.005 Journal of Molecular Catalysis B: Enzymatic Journal of Molecular Catalysis B: Enzymatic 1381-1177 114 2015 Elsevier BV",17_Schrittwieser_2018_ChemRev,"['Torsten Sehl', 'Dörte Rother']",Journal of Molecular Catalysis B: Enzymatic
10.1002/ejlt.201400494,5,Immobilization & Materials,paper_only,0.537,10.1002/ejlt.201400494,Native lipase dissolved in hydrophilic green solvents: A versatile 2‐phase reaction system for high yield ester synthesis,2015.0,Native lipase dissolved in hydrophilic green solvents: A versatile 2‐phase reaction system for high yield ester synthesis Beatrice Kleiner Ulrich Schörken 10.1002/ejlt.201400494 European Journal of Lipid Science and Technology Euro J Lipid Sci & Tech 1438-7697 1438-9312 117 2 2015 Wiley,02_Sheldon_2018_ChemRev,"['Beatrice Kleiner', 'Ulrich Schörken']",European Journal of Lipid Science and Technology
one-pot triangular chemoenzymatic cascades for the syntheses of chiral alkaloids from dopamine b r lichman e d lamming t pesnot j m smith h c hailes j m ward green chem 17 2015,5,Immobilization & Materials,union_strong,1.0,,One-pot triangular chemoenzymatic cascades for the syntheses of chiral alkaloids from dopamine,2015.0,One-pot triangular chemoenzymatic cascades for the syntheses of chiral alkaloids from dopamine B R Lichman E D Lamming T Pesnot J M Smith H C Hailes J M Ward Green Chem 17 2015,17_Schrittwieser_2018_ChemRev,[],Green Chem
10.1073/pnas.1507910112,5,Immobilization & Materials,paper_only,0.607,10.1073/pnas.1507910112,Origins of stereoselectivity in evolved ketoreductases,2015.0,Origins of stereoselectivity in evolved ketoreductases Elizabeth L Noey Nidhi Tibrewal Gonzalo Jiménez-Osés Sílvia Osuna Jiyong Park Carly M Bond Duilio Cascio Jack Liang Xiyun Zhang Gjalt W Huisman Yi Tang Kendall N Houk 10.1073/pnas.1507910112 Proceedings of the National Academy of Sciences Proc. Natl. Acad. Sci. U.S.A. 0027-8424 1091-6490 112 51 2015 Proceedings of the National Academy of Sciences,04_Winkler_2021_ACSCentSci,"['Elizabeth L. Noey', 'Kendall N. Houk']",Proceedings of the National Academy of Sciences
production of combi-cleas of glycosidases utilized for aroma enhancement in wine u v sojitra s s nadar v k rathod k ahumada p urrutia a illanes l wilson food chem 213 2016. 2015 food bioprod. process a magnetic tri-enzyme nanobiocatalyst for fruit juice clarification,5,Immobilization & Materials,paper_only,1.0,,Production of combi-CLEAs of glycosidases utilized for aroma enhancement in wine,2015.0,Production of combi-CLEAs of glycosidases utilized for aroma enhancement in wine U V Sojitra S S Nadar V K Rathod K Ahumada P Urrutia A Illanes L Wilson Food Chem 213 2016. 2015 Food Bioprod. Process A magnetic tri-enzyme nanobiocatalyst for fruit juice clarification,02_Sheldon_2018_ChemRev,[],Food Chem
10.1002/biot.201400150,5,Immobilization & Materials,paper_only,0.657,10.1002/biot.201400150,Robust Enzyme Design: Bioinformatic Tools for Improved Protein Stability,2015.0,Robust Enzyme Design: Bioinformatic Tools for Improved Protein Stability D Suplatov V Voevodin V Svedas 10.1002/biot.201400150 Biotechnol. J 10 2015,04_Winkler_2021_ACSCentSci,"['Dmitry Suplatov', 'Vytas Švedas']",Biotechnol. J
10.1016/j.molcatb.2015.02.013,5,Immobilization & Materials,paper_only,1.0,10.1016/j.molcatb.2015.02.013,Strategic optimization of xylanase–mannanase combi-CLEAs for synergistic and efficient hydrolysis of complex lignocellulosic substrates,2015.0,Strategic optimization of xylanase–mannanase combi-CLEAs for synergistic and efficient hydrolysis of complex lignocellulosic substrates Abhishek Bhattacharya Brett I Pletschke 0000-0001-8117-1730 10.1016/j.molcatb.2015.02.013 Journal of Molecular Catalysis B: Enzymatic Journal of Molecular Catalysis B: Enzymatic 1381-1177 115 2015 Elsevier BV,02_Sheldon_2018_ChemRev,"['Abhishek Bhattacharya', 'Brett I. Pletschke']",Journal of Molecular Catalysis B: Enzymatic
surfactant-activated magnetic cross-linked enzyme aggregates (magnetic cleas) of thermomyces lanuginosus lipase for biodiesel production w w zhang x l yang j q jia n wang c j hu x q yu j. mol. catal. b: enzym 115 2015,5,Immobilization & Materials,paper_only,1.0,,Surfactant-activated magnetic cross-linked enzyme aggregates (magnetic CLEAs) of Thermomyces lanuginosus lipase for biodiesel production,2015.0,Surfactant-activated magnetic cross-linked enzyme aggregates (magnetic CLEAs) of Thermomyces lanuginosus lipase for biodiesel production W W Zhang X L Yang J Q Jia N Wang C J Hu X Q Yu J. Mol. Catal. B: Enzym 115 2015,02_Sheldon_2018_ChemRev,[],J. Mol. Catal. B: Enzym
systems biocatalysis: an artificial metabolism for interconversion of functional groups d tessaro l pollegioni l piubelli p d'arrigo s servi acs catal 5 2015,5,Immobilization & Materials,union_strong,1.0,,Systems Biocatalysis: An Artificial Metabolism for Interconversion of Functional Groups,2015.0,Systems Biocatalysis: An Artificial Metabolism for Interconversion of Functional Groups D Tessaro L Pollegioni L Piubelli P D'arrigo S Servi ACS Catal 5 2015,17_Schrittwieser_2018_ChemRev,[],ACS Catal
10.1002/ejoc.201500852,5,Immobilization & Materials,paper_only,1.0,10.1002/ejoc.201500852,The Industrial Age of Biocatalytic Transamination,2015.0,The Industrial Age of Biocatalytic Transamination Michael Fuchs Judith E Farnberger Wolfgang Kroutil 10.1002/ejoc.201500852 European Journal of Organic Chemistry Eur J Org Chem 1434-193X 1099-0690 2015 32 2015. 2015 Wiley,04_Winkler_2021_ACSCentSci,"['Michael Fuchs', 'Wolfgang Kroutil']",European Journal of Organic Chemistry
10.1016/j.copbio.2015.08.022,5,Immobilization & Materials,section_only,1.0,10.1016/j.copbio.2015.08.022,Top value platform chemicals: bio-based production of organic acids,2015.0,Top value platform chemicals: bio-based production of organic acids Judith Becker Anna Lange Jonathan Fabarius Christoph Wittmann 0000-0002-7952-985X 10.1016/j.copbio.2015.08.022 Current Opinion in Biotechnology Current Opinion in Biotechnology 0958-1669 36 2015 Elsevier BV,02_Sheldon_2018_ChemRev,"['Judith Becker', 'Christoph Wittmann']",Current Opinion in Biotechnology
10.1002/anie.201505696,5,Immobilization & Materials,section_only,1.0,10.1002/anie.201505696,Vinylation of Unprotected Phenols Using a Biocatalytic System,2015.0,Vinylation of Unprotected Phenols Using a Biocatalytic System Eduardo Busto Robert C Simon Wolfgang Kroutil 10.1002/anie.201505696 Angewandte Chemie International Edition Angew Chem Int Ed 1433-7851 1521-3773 54 37 2015 Wiley,17_Schrittwieser_2018_ChemRev,"['Eduardo Busto', 'Wolfgang Kroutil']",Angewandte Chemie International Edition
10.1002/adsc.201500902,5,Immobilization & Materials,paper_only,0.558,10.1002/adsc.201500902,A Continuous‐Flow Cascade Reactor System for Subtilisin A‐ Catalyzed Dynamic Kinetic Resolution of <i>N</i>‐<i>tert</i>‐Butyloxycarbonylphenylalanine Ethyl Thioester with Benzylamine,2016.0,A Continuous‐Flow Cascade Reactor System for Subtilisin A‐ Catalyzed Dynamic Kinetic Resolution of <i>N</i>‐<i>tert</i>‐Butyloxycarbonylphenylalanine Ethyl Thioester with Benzylamine Péter Falus Lorenzo Cerioli Gabriella Bajnóczi Zoltán Boros Diána Weiser József Nagy Davide Tessaro Stefano Servi László Poppe 10.1002/adsc.201500902 Advanced Synthesis & Catalysis Adv Synth Catal 1615-4150 1615-4169 358 10 2016 Wiley,16_Britton_2018_ChemSocRev,"['Péter Falus', 'László Poppe']",Advanced Synthesis & Catalysis
a kinase-independent one-pot multienzyme cascade for an expedient synthesis of guanosine 5′-diphospho-d-mannose m pfeiffer d bulfon h weber b nidetzky adv. synth. catal 358 2016,5,Immobilization & Materials,union_strong,1.0,,A Kinase-Independent One-Pot Multienzyme Cascade for an Expedient Synthesis of Guanosine 5′-Diphospho-D-mannose,2016.0,A Kinase-Independent One-Pot Multienzyme Cascade for an Expedient Synthesis of Guanosine 5′-Diphospho-D-mannose M Pfeiffer D Bulfon H Weber B Nidetzky Adv. Synth. Catal 358 2016,17_Schrittwieser_2018_ChemRev,[],Adv. Synth. Catal
10.1111/1751-7915.12386,5,Immobilization & Materials,section_only,1.0,10.1111/1751-7915.12386,A roadmap for biocatalysis – functional and spatial orchestration of enzyme cascades,2016.0,A roadmap for biocatalysis – functional and spatial orchestration of enzyme cascades Claudia Schmidt‐dannert Fernando Lopez‐gallego 10.1111/1751-7915.12386 Microbial Biotechnology Microbial Biotechnology 1751-7915 9 5 2016 Wiley,17_Schrittwieser_2018_ChemRev,"['Claudia Schmidt‐Dannert', 'Fernando Lopez‐Gallego']",Microbial Biotechnology
aroma release in wine using co-immobilized enzyme aggregates k ahumada a martinez-gil y moreno-simunovic a illanes l wilson molecules 21 1485 2016,5,Immobilization & Materials,paper_only,1.0,,Aroma Release in Wine Using Co-Immobilized Enzyme Aggregates,2016.0,Aroma Release in Wine Using Co-Immobilized Enzyme Aggregates K Ahumada A Martinez-Gil Y Moreno-Simunovic A Illanes L Wilson Molecules 21 1485 2016,02_Sheldon_2018_ChemRev,[],Molecules
asymmetric synthesis of aromatic β-amino acids using ω-transaminase: optimizing the lipase concentration to obtain thermodynamically unstable β-keto acids s mathew s.-s jeong t chung s.-h lee h yun biotechnol. j 11 2016,5,Immobilization & Materials,union_strong,1.0,,Asymmetric Synthesis of Aromatic β-Amino Acids Using ω-Transaminase: Optimizing the Lipase Concentration to Obtain Thermodynamically Unstable β-Keto Acids,2016.0,Asymmetric Synthesis of Aromatic β-Amino Acids Using ω-Transaminase: Optimizing the Lipase Concentration to Obtain Thermodynamically Unstable β-Keto Acids S Mathew S.-S Jeong T Chung S.-H Lee H Yun Biotechnol. J 11 2016,17_Schrittwieser_2018_ChemRev,[],Biotechnol. J
biobased organic acids production by metabolically engineered microorganisms y chen j nielsen curr. opin. biotechnol 37 2016,5,Immobilization & Materials,union_strong,1.0,,Biobased organic acids production by metabolically engineered microorganisms,2016.0,Biobased organic acids production by metabolically engineered microorganisms Y Chen J Nielsen Curr. Opin. Biotechnol 37 2016,02_Sheldon_2018_ChemRev,[],Curr. Opin. Biotechnol
10.1002/9781118828083.ch1,5,Immobilization & Materials,union_strong,1.0,10.1002/9781118828083.ch1,Biocatalysis and Green Chemistry,2016.0,"Biocatalysis and Green Chemistry Roger A Sheldon 10.1002/9781118828083.ch1 in Green Biocatalysis (ed. Patel, R. N 2016 Wiley",03_Bell_2021_NatRevMethodsPrimers,['Roger A. Sheldon'],Biocatalysis and Green Chemistry
circular economy design considerations for research and development in the chemical sciences j h clark t j farmer l herrero-davila j sherwood green chem 18 2016,5,Immobilization & Materials,section_only,1.0,,Circular economy design considerations for research and development in the chemical sciences,2016.0,Circular economy design considerations for research and development in the chemical sciences J H Clark T J Farmer L Herrero-Davila J Sherwood Green Chem 18 2016,02_Sheldon_2018_ChemRev,[],Green Chem
z xu z xu b tang s li j gao b chi h xu construction and co-expression of polycistronic plasmids encoding thermophilic l-arabinose isomerase and hyperthermophilic β-galactosidase for single-step production of d-tagatose 2016 109,5,Immobilization & Materials,section_only,1.0,,Construction and Co-Expression of Polycistronic Plasmids Encoding Thermophilic L-Arabinose Isomerase and Hyperthermophilic β-Galactosidase for Single-Step Production of D-Tagatose,2016.0,Z Xu Z Xu B Tang S Li J Gao B Chi H Xu Construction and Co-Expression of Polycistronic Plasmids Encoding Thermophilic L-Arabinose Isomerase and Hyperthermophilic β-Galactosidase for Single-Step Production of D-Tagatose 2016 109,17_Schrittwieser_2018_ChemRev,[],Construction and Co-Expression of Polycistronic Plasmids Encoding Thermophilic L-Arabinose Isomerase and Hyperthermophilic β-Galactosidase for Single-Step Production of D-Tagatose
10.1515/boca-2015-0012,5,Immobilization & Materials,paper_only,1.0,10.1515/boca-2015-0012,Cross-linked enzyme aggregates (CLEA) in enzyme improvement – a review,2016.0,Cross-linked enzyme aggregates (CLEA) in enzyme improvement – a review Susana Velasco-Lozano Fernando López-Gallego Juan C Mateos-Díaz Ernesto Favela-Torres 10.1515/boca-2015-0012 Biocatalysis 2353-1746 1 1 2016 Portico,02_Sheldon_2018_ChemRev,"['Susana Velasco-Lozano', 'Ernesto Favela-Torres']",Biocatalysis
efficient biosynthesis of (r)-or (s)-2-hydroxybutyrate from l-threonine through a synthetic biology approach p yao y cui s yu y du j feng q wu d zhu adv. synth. catal 358 2016,5,Immobilization & Materials,section_only,1.0,,Efficient Biosynthesis of (R)-or (S)-2-Hydroxybutyrate from L-Threonine through a Synthetic Biology Approach,2016.0,Efficient Biosynthesis of (R)-or (S)-2-Hydroxybutyrate from L-Threonine through a Synthetic Biology Approach P Yao Y Cui S Yu Y Du J Feng Q Wu D Zhu Adv. Synth. Catal 358 2016,17_Schrittwieser_2018_ChemRev,[],Adv. Synth. Catal
hybrid cross-linked lipase aggregates with magnetic nanoparticles: a robust and recyclable biocatalysis for the epoxidation of oleic acid j cui l cui s jia z su s zhang j. agric. food chem 64 2016,5,Immobilization & Materials,paper_only,1.0,,Hybrid Cross-Linked Lipase Aggregates With Magnetic Nanoparticles: A Robust and Recyclable Biocatalysis for the Epoxidation of Oleic Acid,2016.0,Hybrid Cross-Linked Lipase Aggregates With Magnetic Nanoparticles: A Robust and Recyclable Biocatalysis for the Epoxidation of Oleic Acid J Cui L Cui S Jia Z Su S Zhang J. Agric. Food Chem 64 2016,02_Sheldon_2018_ChemRev,[],J. Agric. Food Chem
immobilization of cellulase on magnetic nanocarriers h.-c roth s p schwaminger f peng s berensmeier 2016 5,5,Immobilization & Materials,paper_only,1.0,,Immobilization of Cellulase on Magnetic Nanocarriers,2016.0,Immobilization of Cellulase on Magnetic Nanocarriers H.-C Roth S P Schwaminger F Peng S Berensmeier 2016 5,02_Sheldon_2018_ChemRev,[],Immobilization of Cellulase on Magnetic Nanocarriers
magnetic macromolecular cross linked enzyme aggregates (cleas) of glucoamylase s s nadar v k rathod enzyme microb. technol 83 2016,5,Immobilization & Materials,paper_only,1.0,,Magnetic macromolecular cross linked enzyme aggregates (CLEAs) of glucoamylase,2016.0,Magnetic macromolecular cross linked enzyme aggregates (CLEAs) of glucoamylase S S Nadar V K Rathod Enzyme Microb. Technol 83 2016,02_Sheldon_2018_ChemRev,[],Enzyme Microb. Technol
one-pot enzymatic reaction sequence for the syntheses of d-glyceraldehyde 3-phosphate and l-glycerol 3-phosphate g s molla r wohlgemuth a liese j. mol. catal. b: enzym 124 2016,5,Immobilization & Materials,union_strong,1.0,,One-Pot Enzymatic Reaction Sequence for the Syntheses of D-Glyceraldehyde 3-phosphate and L-Glycerol 3-phosphate,2016.0,One-Pot Enzymatic Reaction Sequence for the Syntheses of D-Glyceraldehyde 3-phosphate and L-Glycerol 3-phosphate G S Molla R Wohlgemuth A Liese J. Mol. Catal. B: Enzym 124 2016,17_Schrittwieser_2018_ChemRev,[],J. Mol. Catal. B: Enzym
10.1002/anie.201507881,5,Immobilization & Materials,union_strong,1.0,10.1002/anie.201507881,Peroxygenase‐Catalyzed Oxyfunctionalization Reactions Promoted by the Complete Oxidation of Methanol,2016.0,Peroxygenase‐Catalyzed Oxyfunctionalization Reactions Promoted by the Complete Oxidation of Methanol Yan Ni Elena Fernández‐fueyo Alvaro Gomez Baraibar René Ullrich Martin Hofrichter Hideshi Yanase Miguel Alcalde Willem J H Van berkel Frank Hollmann 10.1002/anie.201507881 Angewandte Chemie International Edition Angew Chem Int Ed 1433-7851 1521-3773 55 2 2016 Wiley,17_Schrittwieser_2018_ChemRev,"['Yan Ni', 'Frank Hollmann']",Angewandte Chemie International Edition
10.1039/c6ra03940e,5,Immobilization & Materials,paper_only,1.0,10.1039/c6ra03940e,Preparation and characterization of a Combi-CLEAs from pectinases and cellulases: a potential biocatalyst for grape juice clarification,2016.0,"Preparation and characterization of a Combi-CLEAs from pectinases and cellulases: a potential biocatalyst for grape juice clarification Lucas Dal Magro Plinho F Hertz Roberto Fernandez-Lafuente Manuela P Klein Rafael C Rodrigues 0000-0001-8592-850X 10.1039/c6ra03940e RSC Advances RSC Adv. 2046-2069 6 32 2016, 6, 27242 Royal Society of Chemistry (RSC)",02_Sheldon_2018_ChemRev,"['Lucas Dal Magro', 'Rafael C. Rodrigues']",RSC Advances
preparation and characterization of nanomagnetic cross-linked cellulase aggregates for cellulose bioconversion k jafari khorshidi h lenjannezhadian m jamalan m zeinali j. chem. technol. biotechnol 91 2016,5,Immobilization & Materials,paper_only,1.0,,Preparation and characterization of nanomagnetic cross-linked cellulase aggregates for cellulose bioconversion,2016.0,Preparation and characterization of nanomagnetic cross-linked cellulase aggregates for cellulose bioconversion K Jafari Khorshidi H Lenjannezhadian M Jamalan M Zeinali J. Chem. Technol. Biotechnol 91 2016,02_Sheldon_2018_ChemRev,[],J. Chem. Technol. Biotechnol
recyclable cross-linked laccase aggregates coupled to magnetic silica microbeads for elimination of pharmaceuticals from municipal wastewater a arca-ramos v v kumar g eibes m t moreira h cabana environ. sci. pollut. res 23 2016,5,Immobilization & Materials,paper_only,1.0,,Recyclable cross-linked laccase aggregates coupled to magnetic silica microbeads for elimination of pharmaceuticals from municipal wastewater,2016.0,Recyclable cross-linked laccase aggregates coupled to magnetic silica microbeads for elimination of pharmaceuticals from municipal wastewater A Arca-Ramos V V Kumar G Eibes M T Moreira H Cabana Environ. Sci. Pollut. Res 23 2016,02_Sheldon_2018_ChemRev,[],Environ. Sci. Pollut. Res
10.1021/acs.oprd.6b00232,5,Immobilization & Materials,section_priority,1.0,10.1021/acs.oprd.6b00232,"Stereoselective Two-Step Biocatalysis in Organic Solvent: Toward All Stereoisomers of a 1,2-Diol at High Product Concentrations",2016.0,"Stereoselective Two-Step Biocatalysis in Organic Solvent: Toward All Stereoisomers of a 1,2-Diol at High Product Concentrations Jochen Wachtmeister Andre Jakoblinnert Dörte Rother 10.1021/acs.oprd.6b00232 Organic Process Research & Development Org. Process Res. Dev. 1083-6160 1520-586X 20 10 2016 American Chemical Society (ACS)",17_Schrittwieser_2018_ChemRev,"['Jochen Wachtmeister', 'Dörte Rother']",Organic Process Research & Development
"structure-function relationships in l-amino acid deaminase, a flavoprotein belonging to a novel class of biotechnologically relevant enzymes p motta g molla l pollegioni m nardini j. biol. chem 291 2016",5,Immobilization & Materials,section_only,0.545,,"Structure-Function Relationships in L-Amino Acid Deaminase, a Flavoprotein Belonging to a Novel Class of Biotechnologically Relevant Enzymes",2016.0,"Structure-Function Relationships in L-Amino Acid Deaminase, a Flavoprotein Belonging to a Novel Class of Biotechnologically Relevant Enzymes P Motta G Molla L Pollegioni M Nardini J. Biol. Chem 291 2016",17_Schrittwieser_2018_ChemRev,[],J. Biol. Chem
10.1038/nchem.2459,5,Immobilization & Materials,union_strong,1.0,10.1038/nchem.2459,Substrate channelling as an approach to cascade reactions,2016.0,Substrate channelling as an approach to cascade reactions Ian Wheeldon Shelley D Minteer Scott Banta Scott Calabrese Barton Plamen Atanassov Matthew Sigman 10.1038/nchem.2459 Nature Chemistry Nature Chem 1755-4330 1755-4349 8 4 2016 Springer Science and Business Media LLC,17_Schrittwieser_2018_ChemRev,"['Ian Wheeldon', 'Matthew Sigman']",Nature Chemistry
10.1002/open.201600127,5,Immobilization & Materials,union_strong,1.0,10.1002/open.201600127,The Power of Biocatalysis: A One‐Pot Total Synthesis of Rhamnolipids from Butane as the Sole Carbon and Energy Source,2016.0,The Power of Biocatalysis: A One‐Pot Total Synthesis of Rhamnolipids from Butane as the Sole Carbon and Energy Source Christian Gehring Mirja Wessel Steffen Schaffer Oliver Thum 0000-0002-2568-1450 10.1002/open.201600127 ChemistryOpen ChemistryOpen 2191-1363 5 6 2016 Wiley,19_Lin_2017_MicrobCellFact,"['Christian Gehring', 'Oliver Thum']",ChemistryOpen
10.1039/c5cc10646j,5,Immobilization & Materials,union_strong,1.0,10.1039/c5cc10646j,The one-pot multienzyme (OPME) synthesis of human blood group H antigens and a human milk oligosaccharide (HMOS) with highly active Thermosynechococcus elongatus α1–2-fucosyltransferase,2016.0,The one-pot multienzyme (OPME) synthesis of human blood group H antigens and a human milk oligosaccharide (HMOS) with highly active Thermosynechococcus elongatus α1–2-fucosyltransferase Chao Zhao Yijing Wu Hai Yu Ishita M Shah Yanhong Li Jie Zeng Bin Liu David A Mills Xi Chen 10.1039/c5cc10646j Chemical Communications Chem. Commun. 1359-7345 1364-548X 52 20 2016 Royal Society of Chemistry (RSC),17_Schrittwieser_2018_ChemRev,"['Chao Zhao', 'Xi Chen']",Chemical Communications
towards high potential magnetic biocatalysts for on-demand elimination of pharmaceuticals v v kumar h cabana bioresour. technol 200 2016,5,Immobilization & Materials,paper_only,1.0,,Towards high potential magnetic biocatalysts for on-demand elimination of pharmaceuticals,2016.0,Towards high potential magnetic biocatalysts for on-demand elimination of pharmaceuticals V V Kumar H Cabana Bioresour. Technol 200 2016,02_Sheldon_2018_ChemRev,[],Bioresour. Technol
